  1: Obj = 3.547e-07, alpha = 2.360e-10, beta = 1.287e-07, eps = 6.821e-20, dual = 1.015e-05, #nonzeros = 31, x-x_p = 5.855e-04 
  2: Obj = 3.546e-07, alpha = 6.296e-13, beta = 1.330e-11, eps = 2.904e-29, dual = 9.786e-06, #nonzeros = 31, x-x_p = 9.906e-07 
  1: Obj = 3.151e-07, alpha = 1.946e-10, beta = 1.158e-07, eps = 4.957e-20, dual = 8.890e-06, #nonzeros = 31, x-x_p = 5.557e-04 
  2: Obj = 3.150e-07, alpha = 4.966e-13, beta = 9.967e-12, eps = 1.581e-29, dual = 8.578e-06, #nonzeros = 31, x-x_p = 8.536e-07 
  1: Obj = 2.801e-07, alpha = 1.608e-10, beta = 1.043e-07, eps = 3.621e-20, dual = 7.801e-06, #nonzeros = 31, x-x_p = 5.276e-04 
  2: Obj = 2.801e-07, alpha = 3.930e-13, beta = 8.511e-12, eps = 9.861e-30, dual = 7.532e-06, #nonzeros = 31, x-x_p = 7.369e-07 
  1: Obj = 2.493e-07, alpha = 1.333e-10, beta = 9.423e-08, eps = 2.660e-20, dual = 6.856e-06, #nonzeros = 31, x-x_p = 5.010e-04 
  2: Obj = 2.493e-07, alpha = 3.121e-13, beta = 1.138e-11, eps = 9.690e-30, dual = 6.624e-06, #nonzeros = 31, x-x_p = 6.374e-07 
  1: Obj = 2.220e-07, alpha = 1.107e-10, beta = 8.525e-08, eps = 1.965e-20, dual = 6.035e-06, #nonzeros = 31, x-x_p = 4.759e-04 
  2: Obj = 2.220e-07, alpha = 2.487e-13, beta = 1.034e-11, eps = 6.500e-30, dual = 5.834e-06, #nonzeros = 31, x-x_p = 5.524e-07 
  1: Obj = 1.979e-07, alpha = 9.213e-11, beta = 7.727e-08, eps = 1.460e-20, dual = 5.321e-06, #nonzeros = 31, x-x_p = 4.521e-04 
  2: Obj = 1.979e-07, alpha = 1.988e-13, beta = 9.696e-12, eps = 4.530e-30, dual = 5.145e-06, #nonzeros = 31, x-x_p = 4.797e-07 
  1: Obj = 1.765e-07, alpha = 7.683e-11, beta = 7.018e-08, eps = 1.091e-20, dual = 4.697e-06, #nonzeros = 31, x-x_p = 4.296e-04 
  2: Obj = 1.765e-07, alpha = 1.595e-13, beta = 7.381e-12, eps = 2.577e-30, dual = 4.545e-06, #nonzeros = 31, x-x_p = 4.173e-07 
  1: Obj = 1.575e-07, alpha = 6.418e-11, beta = 6.386e-08, eps = 8.203e-21, dual = 4.152e-06, #nonzeros = 31, x-x_p = 4.083e-04 
  2: Obj = 1.575e-07, alpha = 1.284e-13, beta = 8.717e-12, eps = 2.288e-30, dual = 4.019e-06, #nonzeros = 31, x-x_p = 3.637e-07 
  1: Obj = 1.407e-07, alpha = 5.371e-11, beta = 5.822e-08, eps = 6.202e-21, dual = 3.675e-06, #nonzeros = 31, x-x_p = 3.882e-04 
  2: Obj = 1.407e-07, alpha = 1.036e-13, beta = 8.141e-12, eps = 1.616e-30, dual = 3.559e-06, #nonzeros = 31, x-x_p = 3.175e-07 
  1: Obj = 1.258e-07, alpha = 4.502e-11, beta = 5.318e-08, eps = 4.715e-21, dual = 3.257e-06, #nonzeros = 31, x-x_p = 3.690e-04 
  2: Obj = 1.258e-07, alpha = 8.392e-14, beta = 6.673e-12, eps = 1.007e-30, dual = 3.156e-06, #nonzeros = 31, x-x_p = 2.777e-07 
  1: Obj = 1.125e-07, alpha = 3.780e-11, beta = 4.867e-08, eps = 3.605e-21, dual = 2.890e-06, #nonzeros = 31, x-x_p = 3.509e-04 
  2: Obj = 1.125e-07, alpha = 6.816e-14, beta = 5.361e-12, eps = 6.185e-31, dual = 2.801e-06, #nonzeros = 31, x-x_p = 2.433e-07 
  1: Obj = 1.007e-07, alpha = 3.179e-11, beta = 4.462e-08, eps = 2.772e-21, dual = 2.567e-06, #nonzeros = 31, x-x_p = 3.337e-04 
  2: Obj = 1.007e-07, alpha = 5.554e-14, beta = 2.956e-12, eps = 2.622e-31, dual = 2.489e-06, #nonzeros = 31, x-x_p = 2.135e-07 
  1: Obj = 9.015e-08, alpha = 2.677e-11, beta = 4.098e-08, eps = 2.142e-21, dual = 2.283e-06, #nonzeros = 31, x-x_p = 3.174e-04 
  2: Obj = 9.015e-08, alpha = 4.537e-14, beta = 6.266e-12, eps = 4.296e-31, dual = 2.214e-06, #nonzeros = 31, x-x_p = 1.876e-07 
  1: Obj = 8.077e-08, alpha = 2.257e-11, beta = 3.770e-08, eps = 1.665e-21, dual = 2.032e-06, #nonzeros = 31, x-x_p = 3.020e-04 
  2: Obj = 8.077e-08, alpha = 3.716e-14, beta = 3.948e-12, eps = 2.104e-31, dual = 1.972e-06, #nonzeros = 31, x-x_p = 1.651e-07 
  1: Obj = 7.241e-08, alpha = 1.906e-11, beta = 3.473e-08, eps = 1.300e-21, dual = 1.810e-06, #nonzeros = 31, x-x_p = 2.873e-04 
  2: Obj = 7.241e-08, alpha = 3.053e-14, beta = 5.784e-12, eps = 2.406e-31, dual = 1.757e-06, #nonzeros = 31, x-x_p = 1.456e-07 
  1: Obj = 6.494e-08, alpha = 1.611e-11, beta = 3.206e-08, eps = 1.021e-21, dual = 1.614e-06, #nonzeros = 31, x-x_p = 2.733e-04 
  2: Obj = 6.494e-08, alpha = 2.512e-14, beta = 3.991e-12, eps = 1.304e-31, dual = 1.567e-06, #nonzeros = 31, x-x_p = 1.285e-07 
  1: Obj = 5.521e-08, alpha = 1.252e-11, beta = 2.859e-08, eps = 2.996e-21, dual = 1.361e-06, #nonzeros = 31, x-x_p = 2.537e-04 
  2: Obj = 5.521e-08, alpha = 1.892e-14, beta = 6.039e-12, eps = 5.790e-31, dual = 1.323e-06, #nonzeros = 31, x-x_p = 1.052e-07 
  1: Obj = 4.699e-08, alpha = 9.777e-12, beta = 2.553e-08, eps = 2.123e-21, dual = 1.150e-06, #nonzeros = 31, x-x_p = 2.356e-04 
  2: Obj = 4.699e-08, alpha = 1.428e-14, beta = 3.353e-12, eps = 2.278e-31, dual = 1.118e-06, #nonzeros = 31, x-x_p = 8.771e-08 
  1: Obj = 4.003e-08, alpha = 7.651e-12, beta = 2.286e-08, eps = 1.518e-21, dual = 9.734e-07, #nonzeros = 31, x-x_p = 2.188e-04 
  2: Obj = 4.003e-08, alpha = 1.082e-14, beta = 3.420e-12, eps = 1.661e-31, dual = 9.466e-07, #nonzeros = 31, x-x_p = 7.333e-08 
  1: Obj = 3.413e-08, alpha = 5.999e-12, beta = 2.052e-08, eps = 1.094e-21, dual = 8.251e-07, #nonzeros = 31, x-x_p = 2.032e-04 
  2: Obj = 3.413e-08, alpha = 8.239e-15, beta = 4.166e-12, eps = 1.459e-31, dual = 8.027e-07, #nonzeros = 31, x-x_p = 6.146e-08 
  1: Obj = 2.913e-08, alpha = 4.712e-12, beta = 1.847e-08, eps = 7.954e-22, dual = 7.004e-07, #nonzeros = 31, x-x_p = 1.887e-04 
  2: Obj = 2.913e-08, alpha = 6.296e-15, beta = 2.382e-12, eps = 6.062e-32, dual = 6.815e-07, #nonzeros = 31, x-x_p = 5.163e-08 
  1: Obj = 2.488e-08, alpha = 3.712e-12, beta = 1.667e-08, eps = 5.825e-22, dual = 5.953e-07, #nonzeros = 31, x-x_p = 1.754e-04 
  2: Obj = 2.488e-08, alpha = 4.821e-15, beta = 3.600e-12, eps = 6.710e-32, dual = 5.794e-07, #nonzeros = 31, x-x_p = 4.345e-08 
  1: Obj = 2.126e-08, alpha = 2.930e-12, beta = 1.508e-08, eps = 4.298e-22, dual = 5.065e-07, #nonzeros = 31, x-x_p = 1.629e-04 
  2: Obj = 2.126e-08, alpha = 3.724e-15, beta = 7.134e-13, eps = 9.812e-33, dual = 4.931e-07, #nonzeros = 31, x-x_p = 3.665e-08 
  1: Obj = 1.726e-08, alpha = 2.138e-12, beta = 1.330e-08, eps = 6.771e-22, dual = 4.090e-07, #nonzeros = 31, x-x_p = 1.478e-04 
  2: Obj = 1.726e-08, alpha = 2.639e-15, beta = 2.119e-12, eps = 4.592e-32, dual = 3.984e-07, #nonzeros = 31, x-x_p = 2.884e-08 
